Designator,Mid X,Mid Y,Rotation,Layer
C1,8.255,10.287,0.0,bottom
D1,16.51,4.953,270.0,bottom
D2,10.414,4.699,270.0,bottom
GROVEI2C1,10.716,8.128,180.0,top
J1,1.905,10.715,0.0,top
J2,19.685,10.715,0.0,top
LOGO1,4.572,1.27,0.0,top
Q1,13.65,4.9983,270.0,bottom
Q2,7.493,4.9784,270.0,bottom
R1,16.002,8.89,90.0,bottom
R2,13.5636,1.9304,180.0,bottom
R3,12.509,10.2108,180.0,bottom
R4,7.5184,1.9304,180.0,bottom
